pais,inverex,PBI,desempleojuv,transito,obeadult,gastoseduc
Spain,58626179995,2.288785676,15.25,683175,23.8,4.2
Sri Lanka,1614044009,3.272000478,4.320000172,114093,5.2,2.1
Suriname,130960766.3,4.948270766,7.926000118,4304,26.4,7.2
Sweden,-1368759169,1.950022846,6.360000134,573134,20.6,7.6
Tajikistan,220862232.3,7.599278842,7.012000084,30000,14.2,5.7
Tanzania,971576866,5.444967601,2.20600009,145203,8.4,3.1
Thailand,13186328518,4.222870287,0.769999981,180053,10,3
Timorleste,47925664.57,-0.687542477,4.730999947,6040,3.8,6.8
Togo,-180972714.8,4.9762131,3.729000092,9951,8.4,5
Tonga,19911276.38,0.300009404,3.069999933,680,48.2,8
Turkey,1.2505e+10,2.979885235,10.89000034,67333,32.1,4.3
Turkmenistan,1997297379,6.199999941,4.234000206,58592,18.6,3.1
Uganda,1055353353,6.303923781,1.922999978,20544,5.3,3
Ukraine,4.975e+09,3.48836234,8.800000191,169694,24.1,5.4
United Arab Emirates,10385286000,1.189855642,2.351999998,4080,31.7,3.1
United Kingdom,-25055440307,1.650925496,4,394428,27.8,5.2
UnitedStates,2.15e+11,2.918856897,3.900000095,6586610,36.2,5
Uruguay,1559392289,0.477907184,8.340000153,77732,27.9,4.7
Uzbekistan,624686535.5,5.354996888,5.835000038,86496,16.6,5.1
Vanuatu,37583468.42,2.900230273,1.809000015,1070,25.2,2.3
Vietnam,1.55e+10,7.2,1.159999967,195468,2.1,4.1
Zambia,408438491.7,4.034493897,12.01000023,67671,8.1,4.5
Zimbabwe,717865322.2,4.82421054,4.796000004,97267,15.5,3.6
