name;slug;value;date_of_information;ranking;region
San Marino;san-marino;292;2006;203;Europe
SaoTomeandPrincipe;sao-tome-and-principe;1300;2018;177;Africa
Saudi Arabia;saudi-arabia;221372;2006;24;Middle East
Senegal;senegal;16665;2017;119;Africa
Serbia;serbia;44248;2016;85;Europe
Seychelles;seychelles;526;2015;196;Africa
Sierra Leone;sierra-leone;11701;2015;133;Africa
Singapore;singapore;3500;2017;158;East and Southeast Asia
Sint Maarten;sint-maarten;53;;216;Central America and the Caribbean
Slovakia;slovakia;56926;2016;80;Europe
Slovenia;slovenia;38985;2012;90;Europe
Solomon Islands;solomon-islands;1390;2011;175;Australia and Oceania
Somalia;somalia;15000;2018;124;Africa
South Africa;south-africa;750000;2016;10;Africa
South Sudan;south-sudan;90200;2019;54;Africa
Spain;spain;683175;2011;12;Europe
Sri Lanka;sri-lanka;114093;2010;43;South Asia
Sudan;sudan;31000;2019;97;Africa
Suriname;suriname;4304;2003;151;South America
Svalbard;svalbard;40;2020;218;Europe
Sweden;sweden;573134;2016;14;Europe
Switzerland;switzerland;71557;2017;66;Europe
Syria;syria;69873;2010;69;Middle East
Taiwan;taiwan;43206;2017;87;East and Southeast Asia
Tajikistan;tajikistan;30000;2018;98;Central Asia
Tanzania;tanzania;145203;2022;35;Africa
Thailand;thailand;180053;2006;30;East and Southeast Asia
Timorleste;timor-leste;6040;2008;143;East and Southeast Asia
Togo;togo;9951;2018;135;Africa
Tokelau;tokelau;10;2019;222;Australia and Oceania
Tonga;tonga;680;2011;190;Australia and Oceania
Turkey;turkey-turkiye;67333;2018;71;Middle East
Turkmenistan;turkmenistan;58592;2002;77;Central Asia
Turks and Caicos Islands;turks-and-caicos-islands;121;2003;212;Central America and the Caribbean
Tuvalu;tuvalu;8;2011;223;Australia and Oceania
Uganda;uganda;20544;2017;111;Africa
Ukraine;ukraine;169694;2012;31;Europe
United Arab Emirates;united-arab-emirates;4080;2008;154;Middle East
United Kingdom;united-kingdom;394428;2009;19;Europe
UnitedStates;united-states;6586610;2012;1;North America
Uruguay;uruguay;77732;2010;63;South America
Uzbekistan;uzbekistan;86496;2000;56;Central Asia
Vanuatu;vanuatu;1070;2000;184;Australia and Oceania
Venezuela;venezuela;96189;2014;49;South America
Vietnam;vietnam;195468;2013;28;East and Southeast Asia
Virgin Islands;virgin-islands;1260;2008;178;Central America and the Caribbean
West Bank;west-bank;4686;2010;149;Middle East
Yemen;yemen;71300;2005;67;Middle East
Zambia;zambia;67671;2018;70;Africa
Zimbabwe;zimbabwe;97267;2019;48;Africa
