Data Source;Indicadores del desarrollo mundial;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;16/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;DJI;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;400000;30000;160000;-30000;1980000;700000;170000;220000;20000;-60000;-50000;220000;230000;1230000;420000;600000;-130000;60000;2290106.403;2290106.403;1423579.656;1423579.656;3218527.917;3263542.294;3100365.179;3173513.541;3212901.12;3286049.482;3392958.626;3432346.206;14224542.96;38543559.85;22203341.19;108287709.4;195351140.3;227654582.2;96859684.56;36501032.52;79000230.7;109998255.7;286004467.7;152998238.8;143832186.4;159997974.4;164929862;170000000;174999015.3;158230011;;
Dominica;DMA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;0;80000;0;0;0;4799999.9;200000;200000;2300000;3000000;5185185.185;13518518.52;11925925.93;17196296.3;12888888.89;15222222.22;20411111.11;13200000;22600000;54092592.59;17800000;21114814.81;6511111.111;17955555.56;17596296.3;17115925.93;20110637.04;31472140.74;26173948.15;19235559.26;25907525.93;40486774.81;56548262.96;42420685.56;24341705.19;14192972.59;23152398.15;17915757.41;12349892.8;7160376.509;42264926.11;22677207.69;78283172.03;63042221.89;21979985.27;;
Denmark;DNK;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;104000000;125000000;164000000;212000000;240000000;266942015.5;-190295662.8;75799728.5;89464875.42;223893245.4;104119701;99454249.9;133850097.3;60130799.99;-15356842.12;111103417.6;163266341.1;84660817.12;503338112.9;1089565260;1132146350;1552515351;1017385349;1712766178;5006178362;4139423320;773444115.8;2791671359;6674661469;16847919226;36013297907;9286404806;4430703179;1184825160;-8804165491;12847031342;2385249288;11809448518;2191215666;3771059440;-11767861925;13558894634;-16349825685;680338945.9;6577348987;1850770715;7804020827;3607276300;8764023726;-3801733789;1582721537;;
Dominican Republic;DOM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;71600000;65000000;43500000;34500000;53600000;63900000;60000000;71500000;63600000;17100000;92700000;79700000;-1400000;48200000;68500000;36200000;50000000;89000000;106100000;110000000;132800000;145000000;179700000;190700000;208100000;417400000;134200000;408700000;668900000;1344900000;989000000;1087900000;926000000;616530000;934480000;1118400000;1528700000;2252900000;2728400000;1695300000;1820200000;2197500000;3415900000;1599900000;2385300000;2227300000;2516100000;3597900000;2744500000;2829200000;2460600000;;
Algeria;DZA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;80120000;600000;41490000;51000000;358000000;119000000;187000000;178452646.8;135152172.3;25692486.04;348669038.1;13207259.36;-53569192.64;417641.1628;802668.8741;397788.2971;5316528.378;3711537.9;13018265.02;12091646.8;334914.5642;11638686.45;30000000;1000;1000;1000;270000000;260000000;606600000;291600000;280100000;1113105541;1064960000;637853027;884749028;1156000000;1841000000;1686736540;2638607034;2746930734;2300369124;2571237025;1500402453;1691886708;1502206171;-537792920.9;1638263954;1230243451;1466116068;1381200050;1126709390;;
Oriental and Pacific Asia (excluding high income);EAP;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;417482884.6;514955384.5;533905576.7;1023388711;1164907901;1873082206;1404340315;1001681449;1135772960;924555968.9;1376936767;2273131439;2402953612;2818960513;2837398519;2948205676;3115986509;3923247338;6738630060;8353613405;10395966799;13163288082;21343807238;38807970566;45467354630;50702277672;58560367769;63348378747;59556894377;53023921805;48073486630;52300514762;63365890143;68473375421;83287174353;1.29E+11;1.53E+11;1.94E+11;2.12E+11;1.56E+11;2.98E+11;3.37E+11;3.05E+11;3.62E+11;3.30E+11;3.06E+11;2.20E+11;2.40E+11;3.11E+11;2.60E+11;3.03E+11;;
Initial demographic dividend;EAR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;1914402865;1808573667;1117654873;1654247187;-1153401256;5340130964;1366345486;2294355143;3339114290;1990379983;397730711;12754228753;14991603285;8922933501;8873070126;5701590832;6451387070;3547341590;8503024878;8275108510;11467360413;15783449697;17281763502;18195006271;29768906884;33499041126;41162199116;58082008244;51007976067;60996601071;51281457720;59935106069;47270183633;42987295946;63751028607;1.11E+11;1.55E+11;1.94E+11;2.35E+11;1.70E+11;1.87E+11;1.94E+11;1.85E+11;2.18E+11;1.88E+11;2.17E+11;1.98E+11;2.13E+11;2.23E+11;2.12E+11;2.01E+11;;
Oriental Asia and the Pacific;EAS;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;1906973498;2243066837;2650359016;2014579663;3526963191;3396343572;3451126412;3025173435;4079689976;4786996830;5994729554;9003513279;8478001554;9088217943;6385573831;7361236504;13718329643;21167805534;25777793319;23722887551;33599596974;27434684004;38089457275;59909061766;72331478087;89651923009;94206961320;1.09E+11;98167597421;1.30E+11;1.75E+11;1.27E+11;1.13E+11;1.27E+11;1.99E+11;1.89E+11;2.88E+11;3.96E+11;3.87E+11;2.88E+11;4.97E+11;5.61E+11;5.17E+11;5.91E+11;6.31E+11;6.18E+11;5.29E+11;5.57E+11;6.00E+11;5.36E+11;5.87E+11;;
Europe and Central Asia (excluded high income);ECA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;58000000;45000000;43000000;79000000;64000000;114000000;10000000;27000000;34000000;75000000;18000000;95000000;55000000;46000000;113000000;99000000;125000000;115000000;354000000;663000000;719000000;865900000;2410900010;3636602000;2584916000;5103880000;6206025000;10398188000;8536401001;8744461182;7972453104;12882292446;12267823241;21409953083;36935783727;47604348941;89036476929;1.35E+11;1.53E+11;86701633193;85148972862;1.19E+11;1.05E+11;1.15E+11;63259382920;53300249232;86541315904;66276710464;43406311824;70278664721;39605854074;;
Europe and Central Asia;ECS;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;4502468280;6020436971;6617541587;9854035954;12799281521;10273246606;8273499392;12618809030;13854628515;17607056303;21045826582;16467838715;14710452956;15791206135;9970429000;16902908858;26305041187;39533396089;63558552469;80164206909;1.13E+11;91204130712;89417535691;95534175652;1.01E+11;1.51E+11;1.57E+11;1.91E+11;3.55E+11;6.10E+11;8.56E+11;4.57E+11;4.15E+11;3.89E+11;4.42E+11;1.02E+12;1.29E+12;1.89E+12;1.25E+12;6.61E+11;7.50E+11;1.07E+12;8.10E+11;7.59E+11;5.87E+11;1.11E+12;1.33E+12;8.80E+11;-2.77E+11;4.01E+11;74738006666;;
