"","name","Desempleo","GastosEducacion","KMVia","ObesidadAdultos","LibertadCivil"
"117","Peru",12.6,4.2,18699,19.7,NA
"118","Philippines",7,3.2,216387,6.4,NA
"119","Poland",10.8,4.6,420000,23.1,NA
"120","Portugal",22.6,4.7,82900,20.8,NA
"121","Puerto Rico",26.6,6.1,26862,NA,NA
"122","Qatar",0.4,3.2,7039,35.1,NA
"123","Romania",17.3,3.3,84185,22.5,NA
"124","Russia",17,4.7,1283387,23.1,NA
"125","Rwanda",20.5,3.4,4700,5.8,NA
"126","Saint Lucia",37.2,3.6,1210,19.7,NA
"127","Samoa",31.9,4.8,1150,47.3,NA
"128","San Marino",27.4,3.4,292,NA,NA
"129","Sao Tome and Principe",20.8,5.9,1300,12.4,NA
"130","Senegal",4.1,5.3,16665,8.8,NA
"131","Serbia",26.7,3.6,44248,21.5,NA
"132","Seychelles",16.4,3.9,526,14,NA
"133","Sierra Leone",9.4,9.3,11701,8.7,NA
"134","Singapore",10.6,2.5,3500,6.1,NA
"135","Slovakia",19.4,4,56926,20.5,NA
"136","Slovenia",14.2,4.9,38985,20.2,NA
"137","Solomon Islands",1.3,10.1,1390,22.5,NA
"138","South Africa",59.4,6.8,750000,28.3,NA
"139","South Sudan",38.6,1.5,90200,6.6,NA
"140","Spain",38.3,4.2,683175,23.8,NA
"141","Sri Lanka",21.1,2.1,114093,5.2,NA
"142","Suriname",26.5,7.2,4304,26.4,NA
"143","Sweden",24,7.6,573134,20.6,NA
"144","Switzerland",8.6,4.9,71557,19.5,NA
"145","Tanzania",3.9,3.1,145203,8.4,NA
"146","Thailand",5.2,3,180053,10,NA
"147","Timor-Leste",13.2,6.8,6040,3.8,NA
"148","Togo",9.5,5,9951,8.4,NA
"149","Tonga",8.9,8,680,48.2,NA
"150","Trinidad and Tobago",8.7,3.6,NA,18.6,NA
"151","Tunisia",34.9,7.3,NA,26.9,NA
"152","Turkey (Turkiye)",25.1,4.3,67333,32.1,NA
"153","Uganda",15.6,3,20544,5.3,NA
"154","Ukraine",19.3,5.4,169694,24.1,NA
"155","United Arab Emirates",7.2,3.1,4080,31.7,NA
"156","United Kingdom",11.2,5.2,394428,27.8,NA
"157","United States",14.9,5,6586610,36.2,NA
"158","Uruguay",33.5,4.7,77732,27.9,NA
"159","Vanuatu",18,2.3,1070,25.2,NA
"160","Venezuela",12.1,1.3,96189,25.6,NA
"161","Vietnam",7.6,4.1,195468,2.1,NA
"162","West Bank",42.1,5.3,4686,NA,NA
"163","Zambia",30.1,4.5,67671,8.1,NA
"164","Zimbabwe",27.5,3.6,97267,15.5,NA
"165","China",NA,NA,5200000,6.2,NA
"166","Saudi Arabia",NA,NA,221372,35.4,NA
"167","Nigeria",NA,NA,195000,8.9,NA
"168","Uzbekistan",NA,NA,86496,16.6,NA
"169","Yemen",NA,NA,71300,17.1,NA
"170","Syria",NA,NA,69873,27.8,NA
"171","Cuba",NA,NA,60000,24.6,NA
"172","Iraq",NA,NA,59623,30.4,NA
"173","Turkmenistan",NA,NA,58592,18.6,NA
"174","Morocco",NA,NA,57300,26.1,NA
"175","Taiwan",NA,NA,43206,NA,NA
