name,slug,value,date_of_information,ranking,region
"Qatar","qatar","3.2","2020 est.","142","Middle East"
"Cameroon","cameroon","3.1","2019 est.","143","Africa"
"Macau","macau","3.1","2019 est.","144","East and Southeast Asia"
"Panama","panama","3.1","2019 est.","145","Central America and the Caribbean"
"Tanzania","tanzania","3.1","2020 est.","146","Africa"
"Turkmenistan","turkmenistan","3.1","2019 est.","147","Central Asia"
"United Arab Emirates","united-arab-emirates","3.1","2019 est.","148","Middle East"
"Benin","benin","3.0","2019 est.","149","Africa"
"Jordan","jordan","3.0","2019 est.","150","Middle East"
"Thailand","thailand","3.0","2019 est.","151","East and Southeast Asia"
"Uganda","uganda","3.0","2020 est.","152","Africa"
"British Virgin Islands","british-virgin-islands","2.9","2019 est.","153","Central America and the Caribbean"
"Gambia, The","gambia-the","2.9","2019 est.","154","Africa"
"Guinea-Bissau","guinea-bissau","2.9","2019 est.","155","Africa"
"Kazakhstan","kazakhstan","2.9","2019 est.","156","Central Asia"
"Laos","laos","2.9","2014 est.","157","East and Southeast Asia"
"Madagascar","madagascar","2.9","2019 est.","158","Africa"
"Malawi","malawi","2.9","2020 est.","159","Africa"
"Gabon","gabon","2.8","2019 est.","160","Africa"
"Indonesia","indonesia","2.8","2019 est.","161","East and Southeast Asia"
"Armenia","armenia","2.7","2020 est.","162","Middle East"
"Azerbaijan","azerbaijan","2.7","2019 est.","163","Middle East"
"Lebanon","lebanon","2.6","2019 est.","164","Middle East"
"Liechtenstein","liechtenstein","2.6","2011 est.","165","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","2.6","2015 est.","166","Central America and the Caribbean"
"Bahamas, The","bahamas-the","2.5","2020 est.","167","Central America and the Caribbean"
"Comoros","comoros","2.5","2015 est.","168","Africa"
"Pakistan","pakistan","2.5","2019 est.","169","South Asia"
"Singapore","singapore","2.5","2020 est.","170","East and Southeast Asia"
"Chad","chad","2.4","2019 est.","171","Africa"
"Bahrain","bahrain","2.3","2017 est.","172","Middle East"
"Liberia","liberia","2.3","2020 est.","173","Africa"
"Vanuatu","vanuatu","2.3","2020 est.","174","Australia and Oceania"
"Cambodia","cambodia","2.2","2018 est.","175","East and Southeast Asia"
"Guinea","guinea","2.2","2020 est.","176","Africa"
"Sri Lanka","sri-lanka","2.1","2018 est.","177","South Asia"
"Burma","burma","2.0","2019 est.","178","East and Southeast Asia"
"Mauritania","mauritania","1.9","2020 est.","179","Africa"
"Papua New Guinea","papua-new-guinea","1.9","2018 est.","180","East and Southeast Asia"
"Angola","angola","1.8","2019 est.","181","Africa"
"Central African Republic","central-african-republic","1.8","2019 est.","182","Africa"
"Haiti","haiti","1.7","2018 est.","183","Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","1.5","2017 est.","184","Africa"
"South Sudan","south-sudan","1.5","2016 est.","185","Africa"
"Bangladesh","bangladesh","1.3","2019 est.","186","South Asia"
"Bermuda","bermuda","1.3","2017 est.","187","North America"
"Venezuela","venezuela","1.3","2017 est.","188","South America"
"Monaco","monaco","1.2","2019 est.","189","Europe"
